x,y
3.0001,2.425
3,1.0735
3,0.8247
3,5.336756
3,20.836
3,-0.236
3,16.2336
3,0.335
3,11.5736
3.00001,2.21365
3,-0.9836
3,0.0736
3,3.22546
3,14.17245
3,1.12245
3,2.4244
3,12.1030
3,0.6673
3,5.67937
3,-1.07927
3,9.425
3,1.0735
3,0.8247
3,5.336756
2.999999999,2.836
3,-0.236
3,6.2336
3,0.335
3,18.5736
3.000000001,2.21365
3,-0.9836
3,0.0736
3,3.22546
3,4.17245
3,15.71358  
3,-0.66849  
3,-0.38309  
3,3.73010  
3,3.69342  
3,-4.41016  
3,1.86257  
3,-6.22036  
3,2.65006  
3,2.18491  
3,10.90853  
3,5.77408  
3,-0.22009  
3,4.05696  
3,19.53921  
