X1 Hours Studied,X2 Previous Scores,X3 Extracurricular Activities,X4 Sleep Hours,X5 Sample Question Papers Practiced,Y Performance Index
7,99,1,9,1,91.0
4,82,0,4,2,65.0
8,51,1,7,2,45.0
5,52,1,5,2,36.0
7,75,0,8,5,66.0
3,78,0,9,6,61.0
7,73,1,5,6,63.0
8,45,1,4,6,42.0
5,77,0,8,2,61.0
4,89,0,4,0,69.0
8,91,0,4,5,84.0
8,79,0,6,2,73.0
3,47,0,9,2,27.0
6,47,0,4,2,33.0
5,79,0,7,8,68.0
2,72,0,4,3,43.0
8,73,1,8,4,67.0
6,83,1,7,2,70.0
2,54,1,4,9,30.0
5,75,0,7,0,63.0
1,99,1,4,3,71.0
6,96,0,9,0,85.0
9,74,1,7,6,73.0
1,85,0,5,6,57.0
3,61,0,6,3,35.0
7,62,1,7,4,49.0
4,79,0,8,9,66.0
9,84,1,6,6,83.0
3,94,1,6,5,74.0
5,90,1,4,3,74.0
3,61,1,7,3,39.0
7,44,1,9,1,36.0
5,70,1,6,9,58.0
9,52,1,8,1,47.0
7,67,1,9,3,60.0
2,97,1,9,4,74.0
4,59,0,8,3,42.0
9,72,0,8,2,68.0
2,55,1,4,1,32.0
9,68,0,5,3,64.0
5,62,0,7,4,45.0
2,63,1,6,0,39.0
4,73,1,7,0,58.0
7,46,0,9,5,36.0
8,77,1,6,4,71.0
3,76,1,4,3,54.0
1,43,1,7,0,17.0
4,73,0,4,6,54.0
2,81,1,4,3,58.0
8,61,0,7,2,53.0
4,44,1,7,6,27.0
2,89,1,6,1,65.0
6,81,0,9,9,75.0
6,62,1,9,0,52.0
4,93,0,8,3,78.0
6,99,0,4,7,91.0
2,54,1,9,5,33.0
2,70,1,5,8,47.0
4,98,0,6,0,78.0
8,48,0,6,0,38.0
7,82,1,8,4,70.0
9,97,1,8,5,98.0
8,92,1,4,7,87.0
5,64,1,6,2,49.0
2,64,1,6,5,41.0
5,88,0,5,2,71.0
8,60,0,4,7,54.0
9,48,0,4,3,42.0
9,94,0,9,1,91.0
1,87,1,8,8,61.0
9,77,0,9,9,74.0
7,61,1,4,7,54.0
9,82,1,5,5,81.0
8,62,1,4,2,52.0
1,88,1,9,1,65.0
8,43,1,7,3,36.0
8,68,0,7,3,61.0
3,54,1,5,0,35.0
1,40,1,8,8,15.0
8,93,1,6,9,88.0
3,69,0,4,7,45.0
3,68,1,9,6,49.0
1,59,1,8,5,33.0
5,72,1,9,2,60.0
7,80,0,8,3,71.0
9,83,1,4,1,81.0
7,75,0,6,6,67.0
9,99,0,4,1,95.0
8,61,1,6,9,58.0
2,52,0,9,0,29.0
1,46,0,5,5,21.0
7,47,1,6,3,38.0
7,67,1,8,7,60.0
8,84,1,5,0,76.0
5,82,1,9,8,69.0
3,48,0,7,5,30.0
8,64,0,5,1,57.0
6,95,1,6,7,81.0
3,55,1,5,4,36.0
1,49,1,9,4,25.0
3,50,0,5,4,27.0
5,70,1,9,6,61.0
3,51,0,7,6,34.0
1,99,0,6,9,76.0
5,70,0,8,6,57.0
7,53,0,5,9,45.0
7,90,1,4,1,76.0
9,83,1,8,7,83.0
3,71,1,5,0,50.0
7,89,0,8,1,81.0
1,92,0,4,6,66.0
4,56,1,8,3,38.0
4,74,0,8,9,56.0
5,40,0,4,9,25.0
7,68,0,4,8,56.0
7,90,1,4,8,82.0
4,43,1,7,2,23.0
7,62,1,9,2,56.0
3,67,0,9,8,46.0
6,55,1,4,9,43.0
2,51,1,9,7,30.0
9,92,1,8,0,92.0
5,60,0,4,5,45.0
6,84,0,5,6,70.0
4,56,0,4,7,36.0
7,79,0,4,1,71.0
9,52,0,9,0,49.0
7,91,1,6,3,82.0
1,97,1,8,0,71.0
1,71,0,9,1,43.0
9,76,0,8,2,77.0
9,89,1,5,3,86.0
4,54,0,7,5,34.0
9,51,0,6,7,49.0
3,88,0,5,8,69.0
7,96,0,5,3,84.0
6,54,0,8,0,41.0
8,73,1,6,4,68.0
9,45,1,8,4,44.0
5,56,0,7,8,41.0
1,87,0,8,5,58.0
3,88,1,4,4,68.0
8,96,0,8,9,94.0
6,59,1,4,9,47.0
8,48,0,5,4,40.0
9,98,1,7,7,100.0
4,44,1,9,0,23.0
1,62,0,4,4,36.0
1,72,0,7,0,47.0
4,77,1,8,6,60.0
7,95,0,9,6,83.0
2,53,1,8,9,33.0
3,56,0,5,7,36.0
1,96,0,8,6,74.0
5,58,0,4,8,42.0
1,72,1,5,7,47.0
8,40,1,7,7,31.0
1,52,0,5,2,26.0
1,85,1,7,9,58.0
2,66,0,6,3,42.0
2,45,1,4,3,18.0
6,98,0,4,0,85.0
7,45,1,7,5,36.0
5,72,1,8,1,58.0
1,69,1,9,8,45.0
1,85,1,8,0,60.0
3,74,1,6,0,56.0
2,62,1,7,9,42.0
5,49,0,6,5,33.0
6,90,0,7,0,77.0
7,58,1,6,2,51.0
4,90,0,7,9,72.0
7,67,1,4,1,57.0
8,62,0,6,8,53.0
1,43,0,6,4,16.0
6,59,0,7,5,45.0
8,58,0,5,1,49.0
5,81,1,5,7,67.0
4,66,0,4,5,49.0
2,96,0,8,7,73.0
6,73,0,8,7,65.0
6,43,1,4,0,27.0
1,95,0,8,6,72.0
9,77,1,9,1,74.0
6,46,1,9,7,38.0
3,87,0,9,1,67.0
4,46,1,9,3,28.0
4,89,0,7,1,73.0
3,91,0,5,6,72.0
3,65,0,4,4,42.0
3,65,0,7,8,47.0
4,93,0,9,4,77.0
7,58,0,4,7,49.0
4,48,0,5,1,30.0
9,59,1,8,2,54.0
1,81,1,7,5,56.0
8,84,0,5,6,75.0
7,89,0,4,9,78.0
2,55,1,6,7,32.0
8,93,0,7,2,89.0
1,56,1,4,6,29.0
9,61,1,4,7,57.0
9,52,0,5,9,48.0
2,51,0,4,5,27.0
7,49,1,7,3,38.0
3,40,1,9,5,18.0
7,71,0,7,8,66.0
9,69,0,4,2,65.0
4,47,1,5,1,27.0
1,60,1,7,4,33.0
2,61,1,6,6,37.0
1,57,0,9,2,29.0
5,41,0,8,4,26.0
5,87,0,5,3,72.0
7,83,1,5,6,77.0
9,48,1,8,1,45.0
9,42,0,8,6,41.0
3,93,1,7,1,73.0
3,65,1,4,2,43.0
3,60,1,4,4,39.0
4,69,1,6,6,54.0
8,67,1,9,5,62.0
6,75,0,4,6,63.0
8,65,0,6,5,59.0
1,73,0,6,0,46.0
8,47,0,5,4,42.0
4,49,0,5,0,30.0
1,87,1,9,6,63.0
8,94,1,7,3,89.0
4,82,1,8,4,62.0
6,89,0,8,0,77.0
8,93,1,9,7,88.0
4,53,1,6,3,35.0
3,79,1,9,2,60.0
9,94,0,8,0,92.0
3,54,1,6,3,38.0
9,56,1,8,2,56.0
2,92,0,7,7,70.0
2,57,0,5,8,35.0
2,71,1,5,4,47.0
6,77,0,6,8,66.0
3,62,1,9,0,43.0
9,85,0,8,6,81.0
4,62,1,4,6,43.0
1,74,1,7,5,46.0
4,78,0,8,3,61.0
1,54,0,4,8,27.0
5,92,0,7,2,77.0
4,63,0,7,0,43.0
8,67,1,5,1,60.0
8,55,0,6,2,48.0
7,55,1,8,1,47.0
3,79,1,7,5,60.0
1,78,1,8,6,53.0
1,45,0,7,4,19.0
3,41,1,9,4,23.0
6,93,1,5,6,81.0
7,52,0,6,5,41.0
6,83,1,4,7,71.0
6,86,1,4,8,75.0
6,98,1,9,1,89.0
3,48,0,5,1,28.0
6,73,1,7,0,60.0
8,56,1,5,6,54.0
2,66,1,6,3,41.0
5,68,0,4,8,52.0
1,76,0,8,5,53.0
1,82,0,4,6,52.0
5,61,1,6,6,47.0
3,90,1,7,7,71.0
4,63,1,5,3,42.0
3,46,1,4,2,21.0
1,73,1,4,2,48.0
1,87,0,8,9,64.0
5,51,1,5,7,38.0
6,62,1,8,2,49.0
3,54,0,8,7,35.0
9,72,0,7,1,73.0
5,96,1,4,4,81.0
8,52,0,9,4,47.0
1,62,0,5,6,36.0
5,77,0,7,4,63.0
3,71,1,9,8,52.0
1,84,0,7,2,58.0
4,89,1,7,8,77.0
5,74,0,6,0,58.0
7,40,1,6,2,33.0
1,86,1,7,3,67.0
3,97,1,6,5,76.0
2,84,0,5,9,62.0
9,44,0,4,7,37.0
6,96,0,9,6,86.0
3,52,1,5,7,37.0
8,93,0,4,5,88.0
8,44,0,6,5,38.0
2,99,1,9,5,76.0
6,71,0,5,2,57.0
7,90,1,8,9,82.0
2,60,0,7,3,35.0
2,63,1,4,5,41.0
1,99,1,4,6,75.0
8,57,0,8,2,51.0
1,60,1,8,3,34.0
9,93,0,7,5,92.0
6,49,0,6,0,39.0
7,63,0,5,6,56.0
7,79,0,5,0,69.0
3,86,1,5,9,69.0
2,60,1,6,8,40.0
9,64,1,7,9,63.0
8,91,0,5,8,86.0
7,99,0,4,8,89.0
9,96,1,4,3,94.0
4,98,1,4,1,79.0
4,62,0,8,6,44.0
1,61,0,8,3,33.0
8,43,0,6,4,36.0
3,73,1,5,0,50.0
7,95,0,8,9,94.0
2,45,1,4,5,22.0
2,67,0,8,6,44.0
7,70,1,4,2,60.0
6,74,0,5,9,64.0
3,78,1,6,1,58.0
9,81,1,7,9,78.0
6,62,1,7,6,51.0
6,45,0,4,0,30.0
1,55,1,8,1,29.0
4,41,1,8,2,22.0
6,63,0,4,3,51.0
6,56,1,5,4,45.0
5,84,1,4,3,70.0
1,40,0,5,9,10.0
8,45,1,6,2,38.0
5,44,0,6,0,30.0
5,96,1,4,6,82.0
7,84,0,6,9,74.0
4,99,1,8,5,87.0
6,94,1,5,1,77.0
4,89,1,7,1,72.0
3,68,0,7,2,51.0
7,51,1,6,7,40.0
8,78,1,5,7,72.0
4,86,0,8,9,68.0
2,42,0,7,9,22.0
3,87,0,8,9,67.0
1,40,1,8,9,18.0
8,66,1,7,7,64.0
3,87,1,7,6,66.0
7,63,0,6,1,50.0
5,83,0,5,0,68.0
5,58,1,4,5,44.0
7,98,1,5,7,90.0
9,47,0,4,0,41.0
5,94,0,7,2,83.0
1,83,0,8,0,57.0
1,86,1,5,9,64.0
2,41,0,8,8,18.0
6,69,0,5,6,62.0
9,69,0,9,7,66.0
8,88,0,5,8,85.0
5,78,1,8,2,62.0
1,84,0,9,9,62.0
7,71,1,6,1,62.0
5,40,1,7,5,26.0
6,77,0,6,4,66.0
7,52,0,6,3,43.0
3,50,1,5,5,30.0
3,49,0,7,5,25.0
5,87,1,9,2,77.0
6,98,0,5,1,88.0
9,65,1,4,8,62.0
5,95,1,5,7,82.0
1,94,1,9,3,73.0
4,59,0,8,5,44.0
5,56,1,5,2,40.0
5,56,1,4,7,39.0
7,43,0,5,2,34.0
4,44,0,9,1,27.0
1,99,1,4,6,73.0
5,62,1,7,2,46.0
7,85,0,9,8,78.0
6,91,1,5,2,80.0
5,49,0,4,7,33.0
4,85,0,9,1,68.0
2,67,0,7,8,45.0
4,72,1,8,0,56.0
3,82,0,6,2,58.0
1,65,1,4,1,37.0
8,94,1,8,6,88.0
5,89,0,7,4,75.0
4,87,0,8,7,70.0
8,68,0,5,1,62.0
7,66,0,6,7,57.0
2,57,1,4,6,32.0
1,79,1,9,4,53.0
4,99,0,7,1,82.0
8,49,1,6,9,41.0
2,97,0,7,6,75.0
3,81,1,8,9,63.0
1,44,1,7,3,17.0
1,49,1,7,3,24.0
3,89,0,8,7,69.0
5,60,1,8,5,47.0
3,63,1,6,8,43.0
1,77,1,4,1,48.0
1,42,1,8,4,17.0
8,79,0,6,5,75.0
2,70,1,7,7,54.0
3,80,0,7,3,59.0
2,76,0,9,6,56.0
3,41,1,5,6,20.0
7,41,1,8,3,34.0
1,78,0,6,0,54.0
8,88,0,9,2,83.0
2,81,0,6,1,59.0
3,83,1,4,2,63.0
9,73,1,9,4,72.0
7,81,0,6,0,70.0
4,59,0,8,4,41.0
5,72,0,6,1,54.0
2,43,1,5,3,21.0
8,84,1,7,5,83.0
4,83,0,7,8,64.0
9,50,1,9,9,51.0
5,81,0,6,5,66.0
9,86,1,6,9,83.0
4,44,0,6,1,26.0
5,64,1,6,7,49.0
9,88,1,5,4,85.0
8,99,1,8,8,95.0
3,76,1,5,9,56.0
1,73,1,5,8,50.0
3,48,1,5,3,23.0
4,45,1,7,0,26.0
2,57,0,5,8,30.0
1,53,0,6,8,28.0
7,58,0,5,7,48.0
8,53,1,6,4,46.0
7,79,1,9,4,73.0
5,56,1,8,9,45.0
1,99,0,7,5,76.0
7,74,0,8,0,71.0
7,68,0,9,8,60.0
9,81,0,8,4,77.0
3,56,0,7,6,36.0
9,98,0,6,7,96.0
1,82,1,9,4,62.0
1,47,0,9,2,22.0
4,40,1,6,5,21.0
9,84,0,6,6,79.0
6,92,0,7,3,82.0
3,75,1,5,8,55.0
1,46,1,4,3,22.0
4,85,1,5,9,70.0
9,44,0,5,1,37.0
3,63,0,8,8,42.0
9,67,1,4,3,64.0
7,82,0,6,3,72.0
4,56,1,5,9,42.0
3,76,0,7,0,56.0
5,59,0,5,1,43.0
5,42,0,6,2,24.0
3,76,1,5,6,55.0
9,65,0,9,8,64.0
4,54,1,8,4,34.0
5,90,1,8,3,78.0
4,87,1,5,1,71.0
5,47,1,8,6,33.0
7,52,1,7,5,46.0
9,87,1,4,6,86.0
7,42,1,5,7,34.0
5,40,1,7,8,26.0
7,48,1,9,9,44.0
5,70,0,7,4,53.0
3,80,1,7,4,61.0
7,93,0,9,3,84.0
2,65,1,6,2,40.0
9,56,0,5,6,53.0
1,95,0,5,4,67.0
6,73,0,5,6,58.0
7,48,0,4,1,41.0
8,95,0,7,8,89.0
9,90,0,5,8,85.0
2,52,1,8,8,33.0
2,44,1,6,4,20.0
5,80,1,9,9,66.0
5,52,1,9,8,38.0
6,40,1,4,0,25.0
3,64,1,9,1,43.0
8,86,0,6,9,79.0
1,43,1,7,4,16.0
6,75,0,9,4,67.0
4,91,0,9,5,80.0
1,49,0,8,7,26.0
7,67,0,7,0,57.0
9,96,0,5,9,91.0
4,45,0,6,8,29.0
4,66,1,9,3,48.0
6,95,0,8,7,84.0
3,51,0,6,4,33.0
6,91,1,4,0,82.0
7,87,1,8,8,81.0
3,42,1,4,7,24.0
7,85,1,9,4,81.0
3,72,1,8,3,54.0
